"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121"
"1",4.98531085296566,0,2.83590444306668,7.33176874248505,6.07854036741229,7.1120221143951,8.17058753466409,7.01085904655741,7.08443166841144,6.24800408591899,6.4258141571179,0,7.0988908360398,0,0,6.06059712469666,6.5163605522624,13.4837046955606,11.1815432627546,0,0,9.59684329504809,0,9.57969886744682,12.8087294173081,14.0512622312693,0,20.8500362292008,11.9713275592829,12.9453252193039,8.34457019610062,14.2545616299803,10.9756078218152,11.8188922279363,9.0084509209514,8.64907628468405,0,14.1586810047477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",14.2487346965958,9.00545240348934,7.38747850629093,22.2664376987923,17.5181689365926,17.3601028337632,10.7600302856956,20.3804658400134,21.5394288898591,8.19926823457503,23.5220097189701,3.68876308407517,14.8173926976689,0,0,21.3604111831195,18.6221801584387,9.02770041513583,11.6120788826915,0,0,7.33415750857082,0,7.99118150650899,9.37879352643167,10.7249321201909,0,21.1282132443835,14.0401913029695,7.73089492812514,6.37615361003228,8.24650089343593,13.75442165956,7.23253710452756,6.6964807874141,7.25314862957553,0,14.7038487298661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",20.5419946101986,11.5556830342927,10.3202278396169,17.0687992311177,20.2724006712203,18.5525373345685,9.53974596220787,21.8016151321825,18.2975773143956,10.2881866669533,22.8018227694314,3.45378632482327,21.8750389817271,0,0,21.197581869507,20.5111555193161,0,0,0,0,0,0,0,0,0,0,12.4472876889705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",16.6290755200492,9.67251184927766,9.88924413045479,17.5415121007806,21.7475805561881,21.8044002588361,10.039419019101,22.872267905674,18.8145183985999,9.85854103129647,19.8261850234302,3.84706355389111,17.5956804704003,0,0,22.8384398527214,26.3135861046594,0,0,0,0,0,0,0,0,0,0,11.9274756944516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",-2.53557468199349,-1.50551103924758,-1.33781811344572,-2.82217333428614,-3.73157036317923,-3.69604560386932,-1.68322822261511,-3.3047623401513,-3.82679865315069,-1.21803912782,-3.09525224205097,-2.30740036443086,-2.73330722944209,0,0,-3.23791655342302,-3.26845277544169,0,0,0,0,0,0,0,0,0,0,-1.61355032004727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",-0.672157494726138,0,-0.579686898560573,-1.16780591899066,-1.9959988013958,-1.97687729440413,-0.63089416719797,-1.81450921979637,-1.27529824759318,-0.577887146820956,-2.02922524587282,-0.26607141012526,-1.12743987347897,0,0,-1.38269620801125,-0.741642956747486,0,0,0,0,0,0,0,0,0,0,-0.699163788633792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",0,0,0,-0.895791447218941,-1.94256994007826,-0.784978168785496,-1.95403431704959,-0.937285482220379,-1.36144661448996,0,-0.850057900686012,-1.72372947860356,0,0,0,-1.68423348752249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",0,0,0,-1.56132427777229,-0.660145253994139,-0.630813069419946,-0.469448298120423,-1.26111740611997,-1.17113134884867,0,-1.66921026020818,-1.48277105238054,0,0,0,-0.743730191309474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",-0.834671314216381,-0.512778809030825,0,-1.23703568377348,-1.27329874183603,-1.10432021012669,-1.22747178980676,-1.08647246713216,-1.1282905696406,0,-1.5091949377216,-1.27658567959083,-0.867030240832322,0,0,-1.11337631147784,-1.14031588487247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",-1.05767375191246,-0.98035375942663,0,-0.691303834952427,-0.660461626770398,-0.751966957945154,-0.479871746554455,-1.15193017279408,-0.745938565590149,0,0,0,-0.691773656948592,-0.863653981677995,-0.35347773329851,-1.03613191313983,-0.743120718690157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.322416849677832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
