"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121"
"1",8.3049655862631,0,6.54953640100076,8.54925307283259,4.50357248884685,8.98841366881039,8.94939757559701,6.9636177104864,8.12683212222481,1.70695193506085,6.74087010876487,0,5.78024921815594,0,0,6.05079512588173,6.26439282526701,2.98421713968274,10.5215665609931,0,0,8.38613356657355,0,10.5487606504205,8.7218817231504,2.07377325484559,0,4.46843449111391,3.39737594547593,8.49714310365317,8.65357252533666,1.90756103827185,0.258979050945201,7.54764746453744,2.04728913737841,2.19332269822394,0,3.39608959094712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",22.2756716500437,11.1341719957584,5.61151678505754,32.2507598414012,15.4008805845908,32.4224799619456,30.8686524197349,29.6702072120801,29.7070129692096,5.79077952346662,29.5712351597599,18.3318817807431,19.7102137378026,0,0,29.6214990602998,26.3112325450503,10.2350597766685,11.2298099771086,0,0,7.09947788168098,0,11.558075558571,9.55639921217405,6.00059104312039,0,19.7289974983506,10.4795856806756,5.76302254142701,9.48155412886607,9.98337217358851,0.781343962132183,4.2535464935305,9.66357832743819,6.3330880031337,0,9.35681894701176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",9.0728520181421,10.653905960915,2.2249057712492,12.2317404773952,6.34203120592214,12.9142168866689,12.5188243812175,11.2241518167105,11.6614661160248,2.36924544903987,9.32131274476776,5.70638874833745,18.1329350687466,0,0,20.8254610688224,10.8220460524285,0,0,0,0,0,0,0,0,0,0,5.91566527755538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",11.7357008063797,7.79500947337304,2.87760951384256,15.8226421692428,8.20302522593394,21.6382064926859,20.4167183660548,14.51940364366,19.4141454615813,8.1023701937624,12.0591767262294,7.38285748228892,17.5190483820101,0,0,20.0776325759916,13.9976871614079,0,0,0,0,0,0,0,0,0,0,7.65183886284069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",-1.77587713983436,-0.670431389251888,-0.434777893609976,-2.39466607756809,-3.44141168476914,-3.74855232818054,-2.4498468865927,-3.15052511586176,-2.28317570166546,-0.463680090604802,-1.82498044099694,-2.39240018674493,-1.88582215004912,0,0,-2.55290968357238,-1.79187375673659,0,0,0,0,0,0,0,0,0,0,-1.15662439940481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",-1.66452095787834,0,-0.395797656725996,-2.1765473912547,-2.83571641681422,-3.13516729090392,-2.22741588838311,-2.54105168334617,-3.00609116120618,-0.421659270795933,-1.65895737276257,-1.62736947389287,-1.15850521780544,0,0,-2.66376712414117,-1.92539063497865,0,0,0,0,0,0,0,0,0,0,-1.36072532369837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",0,0,0,-0.534604229660076,-1.28548398385673,-0.564557741600784,-0.546631771464322,-0.490618252081668,-0.509766446142368,0,-1.05673962637674,-1.26309541687038,0,0,0,-1.12623422328725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",0,0,0,-1.31242762786182,-0.447199178770834,-1.50248381706271,-1.45728384659266,-1.03832531431849,-1.4596866891951,0,-1.23425701558565,-0.403223661720559,0,0,0,-1.31542572700815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",-0.57067465548875,-0.316957807424465,0,-0.76924396834434,-0.729210802209608,-0.678745429584007,-0.628927595091175,-0.82264124658468,-0.681180386338495,0,-0.772187308458442,-0.300053919344534,-0.506103306600798,0,0,-0.685109138434208,-0.819668671883932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",-1.01860675896743,-1.01467228219872,0,-0.777851734908685,-0.852055019848246,-1.084377014093,-0.795127084500438,-0.836747436183428,-0.887162206944202,0,0,0,-1.1294805368093,-1.22150037484983,-0.0634883032822353,-0.82880945054592,-0.687765052345039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.041022389081467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
